projects,commit,commit1,commit2,comment,contributor,fork,open_issue,closed_issue,mark
git_projects,0.0145487,0.001800552,0.005474067,1.59110769,0.216226153,0.105835386,0.955242808,1.550232197,0
spark_projects,0.015681327,0.001846385,0.007291477,0.643074782,0.127052421,0.202222147,0.363535727,0.426777336,0
go_projects,0.017974482,0.00174104,0.006793683,1.716245927,0.135334938,0.140011429,0.32049568,0.201596809,0
openstack_projects,0.01859931,0.001947441,0.009121957,52.03667348,0.105951669,0.20995294,0,12.94134783,0
ember.js_projects,0.024344494,0.001666304,0.011012175,0.648529024,0.164262464,0.088190215,0.389646125,0.272419527,0
FreeCodeCamp_projects,0.02481124,0.00235257,0.012536306,2.494261307,0.129516098,0.172228901,0.446879011,0.467187482,0
tensorflow_projects,0.025248843,0.001706445,0,1.730081405,0.180810583,0.667073232,0.357476625,0.54534722,0
scikit-learn_projects,0.025488571,0.001713777,0.011352332,0.980842827,0.130768072,0.061768929,0.333729696,0.211946494,0
ipython_projects,0.025872605,0.001438013,0.010797464,2.455942088,0.134084121,0.092983467,0.335293753,0.21870741,0
scala_projects,0.037798743,0.001954509,0.017894534,0.656379244,0.253966895,0.116935057,0.826397111,0.350769311,0
php-src_projects,0.038432717,0.001597405,0.024190064,0.642339784,0.28582145,0.075982837,0.396964603,0.301657021,0
jquery_projects,0.044217759,0.003046924,0.020030469,0.691662779,0.244819068,0.066218594,0.87207231,0.333159701,0
swift_projects,0.044719152,0.001853725,0.021042638,0.987517265,0.109943671,0.97172262,0.587517111,0.745449885,0
spring-framework_projects,0.059174864,0.002706671,0.026308818,0.914298966,0.267165358,0.07970634,0.607055575,0.3513956,0
Chart.js_projects,0.075223755,0.001917432,0.029887848,3.821709542,0.213784923,0.17663244,0.50961791,0.302478581,0
d3_projects,0.090994437,0.004475885,0.036235172,2.016087833,0.453042815,0.120280705,0.978377822,0.273343724,0
firebug_projects,0.257786729,0.054224065,0.128539128,1.352824013,1.372980254,0.598300031,0.978735154,3.35740307,0
echarts_projects,0.314437202,0.027733525,0.157664056,3.051689511,1.564622425,0.097261464,0.377417233,0.372175455,0
ruby_projects,0.354897257,0.603087818,0.148934284,0.768058073,4.359700598,0.064161507,0.659846444,0.306857017,0
mysql-server_projects,0.362299126,0.024860037,0.20870797,26.96015197,0.661264539,0.246639773,39.91517057,2.649217463,0
ajhc_projects,1.863201925,1.723892411,0.854465178,52.76634577,8.109246989,23.40909453,1.693089643,13.27190261,1
hgd_projects,7.022492368,6.687852616,2.88569626,18.63217916,8.815772025,33.68015643,3.538429596,7.751179514,1
matR_projects,9.750280441,20.18621059,7.44520644,100,21.89438108,41.03548625,5.008596743,15.14149243,1
pdnsui_projects,10.74628949,31.97757724,7.496310566,100,35.68922279,124.1700498,8.895214746,24.29694213,1
GenI_projects,16.95829181,15.22214373,13.81442749,100,23.17821327,371.997339,10.95250921,39.28676505,1
angelos_projects,17.64637518,10.6143897,11.53116007,100,14.36703221,371.997339,10.01626777,20,1
DOMinate_projects,27.17927701,31.34743542,21.97960963,100,35.66075608,143.5876141,6.614117297,19.25189597,1
mfp_projects,52.37078526,81.98722578,52.72811079,10.82249139,68.24857661,288.7930459,2.315118018,2.084838907,1
Crisp_projects,66.09761646,105.3921942,166.3609551,100,72.75246723,127.5352908,6.314454741,41.61125484,1
pyqcy_projects,66.09761646,105.3921942,166.3609551,100.5293719,72.75246723,371.997339,6.724367186,30.55342032,1
pass.js_projects,66.09761646,105.3921942,166.3609551,100,72.75246723,371.997339,39.91517057,20,1
pw2mw_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,100,7.777350227,17.32239684,1
wijs_projects,66.09761646,105.3921942,166.3609551,100,72.75246723,100,39.91517057,20,1
Canvassa_projects,66.09761646,105.3921942,166.3609551,100,72.75246723,371.997339,13.22842049,39.31873396,1
PiSpace_projects,66.09761646,105.3921942,166.3609551,100,72.75246723,100,6.890421204,24.42222074,1
spiff_projects,66.09761646,105.3921942,166.3609551,100,72.75246723,53.47319394,6.542446805,41.51299334,1
comp_projects,80.04863744,81.98722578,80.66083001,102.7201466,68.24857661,288.7930459,9.031767988,9.373130704,1
Unpapered_projects,80.04863744,81.98722578,80.66083001,100,68.24857661,136.9788452,12.39327206,37.12599506,1
redstore_projects,80.04863744,81.98722578,80.66083001,100,68.24857661,97.93943296,4.705456897,17.95178562,1
luv.js_projects,80.04863744,81.98722578,80.66083001,100,68.24857661,371.997339,25.57012568,17.58063058,1
