,commit,commit1,commit2,comment,contributor,fork,open_issue,closed_issue,
swift_projects,0.043249842,0.001497091,0.019821694,0.182346405,0.19595231,0.710546622,0.868951796,0.534862505,1
ipython_projects,0.022075515,9.96E-04,0.008595012,0.345646297,0.193798043,0.160075622,0.556233258,0.296304172,1
scala_projects,0.032958911,0.001538693,0.01502697,0.109347232,0.302308817,0.175623314,1.164207044,0.317699354,1
go_projects,0.016179403,0.001286548,0.005999078,0.268958243,0.206063804,0.182049869,0.581444227,0.265185757,1
ember.js_projects,0.02190961,0.001146097,0.010233649,0.098496707,0.235984168,0.149522361,0.64504169,0.279639146,1
echarts_projects,0.311368576,0.027228543,0.151022345,0.471840929,1.613940184,0.154752264,0.555281345,0.328594286,1
angular_projects,0.024278467,0.001043135,0.010350505,0.143742029,0.173789264,0.17028776,0.577417547,0.30773212,1
sympy_projects,0.018848107,0.001595474,0.008289937,0.516610531,0.180384848,0.157828967,0.555084093,0.27216847,1
spark_projects,0.013265965,0.001541949,0.006070013,0.098318902,0.194525644,0.219731617,0.596356376,0.349489265,1
jquery_projects,0.039778805,0.00249716,0.018669226,0.111690365,0.308854013,0.136575099,1.248398357,0.350777777,1
ruby_projects,0.341664409,0.637600559,0.141402776,0.112522858,4.366019289,0.140355571,0.979674547,0.317397144,1
tensorflow_projects,0.024201799,0.001384243,0.010823742,0.227174012,0.240396487,0.519101668,0.519852979,0.437236022,1
d3_projects,0.078511694,0.004185909,0.031864843,0.370253994,0.504949822,0.1679642,1.359438559,0.318795779,1
matplotlib_projects,0.019847419,0.001058435,0.008980553,0.23648035,78.58636385,337.2992927,51.17282629,83.98992755,1
openstack_projects,0.017347388,0.001667151,0.00885058,12.12670219,0.184789391,0.225821634,51.17282629,11.40408779,1
FreeCodeCamp_projects,0.023993216,0.00216888,0.011876633,0.381879382,0.212802032,0.202557856,0.703531924,0.399090564,1
scikit-learn_projects,0.022210564,0.00133769,0.010015065,0.175040265,0.194337516,0.13725471,0.588357958,0.272406181,1
spring-framework_projects,0.054005837,0.002253027,0.02487155,0.130811732,0.329701708,0.144432806,0.868338981,0.344064484,1
Chart.js_projects,0.074667964,0.001510211,0.030015818,0.492199369,0.277391388,0.211350996,0.745445454,0.306851065,1
groovy-core_projects,0.064958636,0.004712591,0.034960681,0.464393007,0.401030713,0.343165628,7.272423707,0.505799767,1
comp_projects,76.8396762,86.56020527,77.43654376,87.97320783,72.7626974,204.7389297,11.45586783,7.801278079,0
angelos_projects,16.33253192,10.61306858,10.67257249,87.97320783,14.53400465,337.2992927,13.37587068,83.98992755,0
GenI_projects,15.77129147,15.29645765,12.84482138,87.97320783,23.32007898,337.2992927,13.7788301,38.18931047,0
Crisp_projects,70.23641179,112.243035,170.8178597,87.97320783,78.58636385,85.5112428,8.062654874,40.81653544,0
pyqcy_projects,70.23641179,112.243035,170.8178597,23.74646904,78.58636385,337.2992927,8.659567922,27.86112248,0
pdnsui_projects,11.56756463,34.99696999,8.035098011,87.97320783,38.00651853,82.23434844,11.27187577,19.06319181,0
matR_projects,9.852817394,20.52338016,7.502189147,87.97320783,22.47932789,25.79268879,6.40346466,13.1113988,0
DOMinate_projects,28.60138685,34.19685469,23.10246098,87.97320783,37.84309643,97.9697258,8.321103402,16.71403419,0
pass.js_projects,70.23641179,112.243035,170.8178597,87.97320783,78.58636385,337.2992927,51.17282629,83.98992755,0
Unpapered_projects,76.8396762,86.56020527,77.43654376,87.97320783,72.7626974,91.59840521,16.02267047,39.48300181,0
redstore_projects,76.8396762,86.56020527,77.43654376,87.97320783,72.7626974,63.95990306,5.83951714,15.86131177,0
pw2mw_projects,70.23641179,112.243035,170.8178597,87.97320783,78.58636385,337.2992927,9.936344865,13.69753936,0
wijs_projects,70.23641179,112.243035,170.8178597,87.97320783,78.58636385,337.2992927,51.17282629,83.98992755,0
Canvassa_projects,70.23641179,112.243035,170.8178597,87.97320783,78.58636385,337.2992927,17.1596181,39.447043,0
mfp_projects,55.70542493,86.56020527,56.04133867,1.534534875,72.7626974,204.7389297,2.947891836,1.497174084,0
PiSpace_projects,70.23641179,112.243035,170.8178597,87.97320783,78.58636385,337.2992927,8.777516839,22.83983496,0
luv.js_projects,76.8396762,86.56020527,77.43654376,87.97320783,72.7626974,337.2992927,32.83648817,14.23052019,0
ajhc_projects,1.890203264,1.842813954,0.861542515,8.748045986,8.096485185,15.92456099,2.253425499,12.04132189,0
spiff_projects,70.23641179,112.243035,170.8178597,87.97320783,78.58636385,33.60343129,8.244347927,40.10183729,0
hgd_projects,7.187724707,6.702934472,2.880975713,2.437302163,8.987041876,22.73464612,4.547461405,6.487024165,0
